phrase,type,neutral,aliases,stemmable,regex,remove
threat,fear,,,,,
urgent,fear,,,,,
terror,fear,,,,,
panic,fear,,,,,
dangerous,fear,,,,,
terrify,fear,,,verb,,
horrify,fear,,,verb,,
frighten,fear,,,verb,,
