phrase,type,neutral,aliases,stemmable,regex,remove
game-changing,hype,,,,,
breakthrough,hype,,,,,
revolutionary,hype,,,,,
cutting-edge,hype,,,,,
must-have,hype,,,,,
big win,hype,,,,,
