phrase,type,neutral,aliases,stemmable,regex,remove
lash out,tabloid-anger,criticize,,,,
rage,tabloid-anger,was furious,,verb,,
red-faced,tabloid-anger,embarrassed,,,,
fury,tabloid-anger,rage,,,,
backlash,tabloid-anger,response,,,,
outrage,tabloid-anger,upset,,verb,,
