phrase,type,neutral,aliases,stemmable,regex,remove
probe,euphemism,investigation,,,,
enhanced interrogation,euphemism,torture,,,,
collateral damage,euphemism,civilian harm,,,,
non-consensual encounter,euphemism,assault,,,,
passed away,euphemism,died,,,,
