phrase,type,neutral,aliases,stemmable,regex,remove
feud,conflict,,,,,
clash,conflict,,,verb,,
chaos,conflict,,,,,
plot,conflict,,,,,
snub,conflict,ignored,,,,
spark,conflict,,,,,
erupt,conflict,begin,,,,
wipeout,conflict,loss,,,,
showdown,conflict,,,,,
vow,conflict,,,verb,,
takeover,conflict,acquisition,take over,,,
