phrase,type,neutral,aliases,stemmable,regex,remove
illegal aliens,derogatory,illegal immigrants,illegal alien,,,
trash,derogatory,poor quality,,,,
horde,derogatory,large groups,,noun,,
elite,derogatory,,,noun,,
mob,derogatory,,,noun,,
radical,derogatory,,,,,
extremist,derogatory,,,,,
dissident,derogatory,opponents,,noun,,
thug,derogatory,,,noun,,
woke,derogatory,,,,,
bigot,derogatory,,,noun,,
