phrase,type,neutral,aliases,stemmable,regex,remove
despicable,moral,,,,,
scandal,moral,,,,,
piracy,moral,copyright infringement,,,,
evil,moral,,,,,
brutal,moral,,,,,
oppressive,moral,,,,,
heroic,moral,,,,,
ruthless,moral,,,,,
corrupt,moral,,,,,

sinful,moral,,,,,
draconian,moral,,,,,
right thing to do,moral,,,,,
fair,moral,,,,,
scandalous,moral,,,,,
deluded,moral,,,,,
