phrase,type,neutral,aliases,stemmable,regex,remove
sources say,unsourced,unsourced,,,,
experts claim,unsourced,unnamed expert,,,,
people familiar,unsourced,unnamed sources,,,,
unnamed sources,unsourced,sources,,,,
multiple sources,unsourced,,,,,
people close to,unsourced,,,,,
